source-id	variable	other_conditions	treatment_dates	duration_months	unit	treatment mean_orig	treatment mean	control mean	treatment SD	control SD	treatment n	control n
Allison SD etal 2010_Resistance of microbial and soil properties to warming treatment seven years after boreal fire	microbial_N		2006-2007	12	mg/g soil	25.8 (mg/g soil)	25.8	26.7	7.91	27.83	5.0	5.0
Dijkstra FA etal 2010_Contrasting effects of elevated CO2 and warming on nitrogen cycling in a semiarid grassland	microbial_N	0-5cm soil	Apr. 2007-Aug. 2007	4	g/m2	 6.8 (g/m2)	6.8	6.2	1.3416	1.118	5.0	5.0
Dijkstra FA etal 2010_Contrasting effects of elevated CO2 and warming on nitrogen cycling in a semiarid grassland	microbial_N	5-15cm soil	Apr. 2007-Aug. 2007	4	g/m2	6.8	6.8	6.5	1.118	0.6708	5.0	5.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	microbial_N	winter warming only(11.2006-4.2007)	Nov. 2006 - Fall 2007	5	g/m2	7.9 (g/m2)	7.9	7.7	2.2134	1.581	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	microbial_N	year-round warming	Nov. 2006 - Fall 2007	12	g/m2	7.4	7.4	7.7	0.9486	1.581	10.0	10.0
Sorensen PL etal 2008_Nitrogen Uptake During One Year in Subarctic Plant Functional Groups and in Microbes After Long-Term Warming and Fertilization	microbial_N		Jun.1989-Jul.2001	25	ug/g dry soil	1595.5 (ug/g dry soil)	1595.5	1675.1	455.6	316	6.0	6.0
Sorensen PL etal 2008_Nitrogen Uptake During One Year in Subarctic Plant Functional Groups and in Microbes After Long-Term Warming and Fertilization	microbial_N		Jun,1989-Jul.2002	37	ug/g dry soil	1151.4	1151.4	1309.5	158	288.1	6.0	6.0
Rinnan R etal 2008_Effects of litter addition and warming on soil carbon, nutrient pools and microbial communities in a subarctic heath ecosystem	microbial_N	0-5 cm soil	1999-Aug.2005	84	mg/g	1.21 (mg/g)	1.21	1.3	0.244948974	0.146969385	6.0	6.0
Rinnan R etal 2008_Effects of litter addition and warming on soil carbon, nutrient pools and microbial communities in a subarctic heath ecosystem	microbial_N	5-10 cm soil	1999-Aug.2005	84	mg/g	1.35	1.35	1.36	0.293938769	0.367423461	6.0	6.0
Weedon JT etal 2012_Summer warming accelerates sub-arctic peatland nitrogen cycling without changing enzyme pools or microbial community structure	microbial_N		Jun.2000-Jun.2009	108	mg N/g dry soil	0.631 (mg N/g dry soil)	0.631	0.537	0.142	0.088	5.0	5.0
Weedon JT etal 2012_Summer warming accelerates sub-arctic peatland nitrogen cycling without changing enzyme pools or microbial community structure	microbial_N		Jun.2000-Aug.2009	110	mg N/g dry soil	0.489	0.489	0.514	0.199	0.065	5.0	5.0
Yin H etal 2012_Nitrogen transformation in the rhizospheres of two subalpine coniferous species under experimental warming	microbial_N	P. asperata	Apr.2007 to Jul.2007	15	mg/kg	99.67 (mg/kg)	99.67	91.02	13.1924	8.8322	5.0	5.0
Yin H etal 2012_Nitrogen transformation in the rhizospheres of two subalpine coniferous species under experimental warming	microbial_N	A. faxoniana	Apr.2007 to Jul.2008	15	mg/kg	160.57	160.57	143.59	19.52028	33.6518	5.0	5.0
Zhang W etal 2005_Soil microbial responses to experimental warming and clipping in a tallgrass prairie	microbial_N		Nov. 1999-Sep. 2001	22	mg/kg	-2.86192	-2.86192	-3.42984	1.446591514	1.851631595	3.0	3.0
Zhang W etal 2005_Soil microbial responses to experimental warming and clipping in a tallgrass prairie	microbial_N		Nov. 1999-May. 2002	30	mg/kg	1.28062(mg/kg)	1.28062	1.24722	3.585691527	1.269907726	5.0	5.0
Zhang W etal 2005_Soil microbial responses to experimental warming and clipping in a tallgrass prairie	microbial_N		Nov. 1999-Sep. 200	34	mg/kg	5.28953	5.28953	6.09131	1.942248645	1.120538385	5.0	5.0
Hobbie SE etal 1998_Response of tundra plant biomass, aboveground production, nitrogen, and CO(2) flux to experimental warming	microbial_N		Jun.1990-summer.1992	24	g/m2	3.43802(g/m2)	3.43802	4.36364	2.50888785	3.345215423	10.0	10.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	microbial_N	low-latitude heath	1989-Jun. 1994	60	mg C g-1 DW SOM	1.076 (mg C g-1 DW SOM)	1.076	1			6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	microbial_N	high-latitude heath	1989-Jun. 1994	60	mg C g-1 DW SOM	1.123	1.123	0.947			6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	microbial_N	low-latitude heath	1989-Aug. 1994	62	mg C g-1 DW SOM	1.433	1.433	1.081			6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	microbial_N	high-latitude heath	1989-Aug. 1994	62	mg C g-1 DW SOM	1.367	1.367	1.211			6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	microbial_N	tussock tundra	1989-Jun. 1999	120	mg C g-1 DW SOM	1.533	1.533	2.107			4.0	4.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	microbial_N	wet sedge	1989-Jun. 1999	120	mg C g-1 DW SOM	1.375	1.375	1.779			2.0	2.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	microbial_N	tussock tundra	1989-Aug. 1999	122	mg C g-1 DW SOM	0.272	0.272	0.361			4.0	4.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	microbial_N	wet sedge	1989-Aug. 1999	122	mg C g-1 DW SOM	0.274	0.274	0.317			2.0	2.0
Xu Z etal 2012_Short-term responses of Picea asperata seedlings of different ages grown in two contrasting forest ecosystems to experimental warming	net_N_mineralization		Apr.2009-Sep.2009	5	mg kg-1 month-1	1.89 (mg kg-1 month-1)	1.89	0.92	0.43	0.83	6.0	1.0
Xu Z etal 2012_Short-term responses of Picea asperata seedlings of different ages grown in two contrasting forest ecosystems to experimental warming	net_N_mineralization		Apr.2009-Sep.2009	5	mg kg-1 month-1	7.81	7.81	5.37	1.15	2.11	6.0	1.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_N_mineralization		May.2003-Jun.2003	1	kgN/ha/yr	120.31 (kgN/ha/yr)	120.31	60.367	5.40992	4.058704	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_N_mineralization		May.2003-Jun.2004	13	kgN/ha/yr	82.2018	82.2018	64.6483	4.058704	4.058704	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_N_mineralization		May.2003-Jun.2005	25	kgN/ha/yr	67.2171	67.2171	51.8043	1.353112	2.705908	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_N_mineralization		May.2003-Jun.2006	37	kgN/ha/yr	70.6422	70.6422	57.7982	4.058704	5.4115	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_N_mineralization		May.2003-Jun.2007	49	kgN/ha/yr	88.1957	88.1957	34.2508	4.058704	1.352796	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_N_mineralization		May.2003-Jun.2008	61	kgN/ha/yr	86.055	86.055	44.0979	6.764612	2.705592	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_N_mineralization		May.2003-Jun.2009	73	kgN/ha/yr	104.037	104.037	55.2294	6.7624	6.764296	10.0	10.0
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	net_N_mineralization		2006-2007	12	mg/kg/day	2.828 mg/kg/day	2.828	2.436	0.129	0.186	6.0	6.0
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	net_N_mineralization		2006-2008	24	mg/kg/day	2.798	2.798	2.364	0.198	0.198	6.0	6.0
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	net_N_mineralization		2006-2009	36	mg/kg/day	2.803	2.803	2.385	0.168	0.154	6.0	6.0
Rui Y etal 2011_Warming and grazing affect soil labile carbon and nitrogen pools differently in an alpine meadow of the Qinghai-Tibet Plateau in China	net_N_mineralization		May, 2006-Aug. 2009	39	mg/kg	0.001 (mg/kg)	0.001	11.72	5.68	6.04	4.0	4.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_N_mineralization	winter warming only(11.2006-4.2007)	Nov. 2006 - Fall 2007	5	ug/g dry soil	2.987 (ug/g dry soil)	2.987	6.352	9.702	12.22	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_N_mineralization	winter warming only	Nov. 2006 - growing season 2007	5	ug/g dry soil	1.84	1.84	-1.711	3.349	2.177	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_N_mineralization	winter warming only	Nov. 2006 - winter 2008	10	ug/g dry soil	-3.81	-3.81	-0.16	8.575	1.225	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_N_mineralization	year-round warming	Nov. 2006 - growing season 2007	12	ug/g dry soil	0.342	0.342	-1.711	2.736	2.177	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_N_mineralization	year-round warming	Nov. 2006 - winter 2008	17	ug/g dry soil	0.03	0.03	-0.16	2.756	1.225	10.0	10.0
Rinnan R etal 2007_Mineralization and carbon turnover in subarctic heath soil as affected by warming and additional litter	net_N_mineralization	with plants	1999-2005	84	ug/core	-5.37 (ug/core)	-5.37	-2.57	4.692	3.319	6.0	6.0
Rinnan R etal 2007_Mineralization and carbon turnover in subarctic heath soil as affected by warming and additional litter	net_N_mineralization	without plants	1999-2005	84	ug/core	-4.72	-4.72	-4.63	3.204	5.722	6.0	6.0
Yin H etal 2012_Nitrogen transformation in the rhizospheres of two subalpine coniferous species under experimental warming	net_N_mineralization	P. asperata	Apr.2007 to Jul.2007	15	mg N/kg soil	0.39 (mg N/kg soil)	0.39	0.09	0.20124	0.04472	5.0	5.0
Yin H etal 2012_Nitrogen transformation in the rhizospheres of two subalpine coniferous species under experimental warming	net_N_mineralization	A. faxoniana	Apr.2007 to Jul.2008	15	mg N/kg soil	0.71	0.71	0.12	0.26832	0.04472	5.0	5.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_N_mineralization	A. faxoniana	April 2007 to May 2010	37	mg N/kg soil/day	0.489 (mg N/kg soil/day)	0.489	0.34	0.171	0.12	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_N_mineralization	A. faxoniana 	April 2007 to Jul 2010	39	mg N/kg soil/day	0.674	0.674	0.289	0.12	0.143	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_N_mineralization	A. faxoniana 	April 2007 to Sep 2010	41	mg N/kg soil/day	0.56	0.56	0.389	0.189	0.074	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_N_mineralization	P. asperata 	April 2007 to May 2010	37	mg N/kg soil/day	0.503	0.503	0.349	0.177	0.063	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_N_mineralization	P. asperata 	April 2007 to Jul 2010	39	mg N/kg soil/day	0.66	0.66	0.363	0.114	0.154	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_N_mineralization	P. asperata 	April 2007 to Sep 2010	41	mg N/kg soil/day	0.594	0.594	0.349	0.16	0.103	4.0	4.0
Wan SQ etal 2005_Direct and indirect effects of experimental warming on ecosystem carbon processes in a tallgrass prairie	net_N_mineralization		Nov. 1999-Jan. 2001	14		3.614	3.614	8.594	0.203	10.869	6.0	6.0
Wan SQ etal 2005_Direct and indirect effects of experimental warming on ecosystem carbon processes in a tallgrass prairie	net_N_mineralization		Nov. 1999-Jan. 2001	14		0.001	0.001	2.528	0.569	5.814	6.0	6.0
Zhang W etal 2005_Soil microbial responses to experimental warming and clipping in a tallgrass prairie	net_N_mineralization		Nov. 1999-Sep. 2001	22	mg/kg	-2.80481	-2.80481	-3.44238	1.446591514	1.851631595	3.0	3.0
Zhang W etal 2005_Soil microbial responses to experimental warming and clipping in a tallgrass prairie	net_N_mineralization		Nov. 1999-May. 2002	30	mg/kg	1.28456(mg/kg)	1.28456	1.35357	3.585691527	1.269907726	5.0	5.0
Zhang W etal 2005_Soil microbial responses to experimental warming and clipping in a tallgrass prairie	net_N_mineralization		Nov. 1999-Sep. 200	34	mg/kg	5.311	5.311	6.11164	1.942248645	1.120538385	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_N_mineralization	xeric site	Jan.1991-Jun.1991	5		0.83	0.83	0.41	0.294448637	0.048836809	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_N_mineralization	xeric site	Jan.1991-Jun.1992	17		1.16	1.16	0.69	0.603738354	0.132091023	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_N_mineralization	xeric site	Jan.1991-Jun.1994	41		0.45	0.45	0.28	0.089442719	0.01196279	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_N_mineralization	mesic site	Jan.1991-Jun.1991	5		0.58	0.58	0.6	0.051961524	0.031913099	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_N_mineralization	mesic site	Jan.1991-Jun.1992	17		0.68	0.68	0.57	0.469574275	0.143903529	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_N_mineralization	mesic site	Jan.1991-Jun.1994	41		0.35	0.35	0.47	0.156524758	0.027694247	5.0	5.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	net_N_mineralization	 forest floor	Jul.1991-Jul.1991	1	mg/kg/d	1.11801(mg/kg/d)	1.11801	0.465839	0.722672959	0.494461348	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	net_N_mineralization	 forest floor	Jul.1991-Aug.1991	2	mg/kg/d	3.8354	3.8354	2.43789	2.09196222	1.483386493	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	net_N_mineralization	 forest floor	Jul.1991-Sep.1991	3	mg/kg/d	2.79503	2.79503	1.38199	2.168018876	0.912851342	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	net_N_mineralization	 forest floor	Jul.1991-Oct.1991	4	mg/kg/d	2.1118	2.1118	0.450311	1.369289261	0.380354318	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	net_N_mineralization	soil	Jul.1991-Jul.1991	1	mg/kg/d	1.10629	1.10629	0.714789	0.650045588	0.479487617	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	net_N_mineralization	soil	Jul.1991-Aug.1991	2	mg/kg/d	3.35049	3.35049	1.29624	1.985237952	1.026850595	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	net_N_mineralization	soil	Jul.1991-Sep.1991	3	mg/kg/d	1.24839	1.24839	1.50004	0.444974307	2.669821345	6.0	6.0
Peterjohn WT etal 1994_Responses of trace gas fluxes and N availability to experimentally elevated soil temperatures	net_N_mineralization	soil	Jul.1991-Oct.1991	4	mg/kg/d	1.87117	1.87117	0.348158	0.821485375	0.376511068	6.0	6.0
Hartley AE etal 1999_Plant performance and soil nitrogen mineralization in response to simulated climate change in subarctic dwarf shrub heath	net_N_mineralization		Jun.1993-Sep 1993 	3	kgN/ha	6.78074 kgN/ha from 6.17 to 9.16	6.78074	5.61221			3.0	3.0
Hartley AE etal 1999_Plant performance and soil nitrogen mineralization in response to simulated climate change in subarctic dwarf shrub heath	net_N_mineralization		Jun.1993-Sep 1994	15	kgN/ha	9.96229	9.96229	4.32748			3.0	3.0
Hartley AE etal 1999_Plant performance and soil nitrogen mineralization in response to simulated climate change in subarctic dwarf shrub heath	net_N_mineralization		Jun.1993-Sep 1997	51	kgN/ha	4.51026	4.51026	4.27414			3.0	3.0
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	net_N_mineralization	1994-1995  under Calluna	 Jun.199-Jun.1995	12	g m-2 year-1	4.37757 g m-2 year-1	4.37757	4.22909	1.645432982	1.335625764	5.0	5.0
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	net_N_mineralization	1994-1995  under  Vaccinium	 Jun.199-Jun.1995	12	g m-2 year-1	5.79262	5.79262	3.89455	1.383298733	1.383298733	5.0	5.0
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	net_N_mineralization	1995-1996  under Calluna	 Jun.199-Jun.1996	24	g m-2 year-1	5.98764	5.98764	4.10297	3.012050648	1.429071044	5.0	5.0
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	net_N_mineralization	1995-1996  under  Vaccinium	 Jun.199-Jun.1996	24	g m-2 year-1	5.52548	5.52548	2.93849	0.974612589	1.163224923	5.0	5.0
Verburg PSJ etal 1999_The CLIMEX soil-heating experiment soil response after 2 years of treatment	net_N_mineralization	1994-1995(four incubation periods)	 Jun.199-Jun.1995	12	g m-2 year-1	6.48149g m-2 year-1	6.48149	4.53317	3.898329408	1.893793222	10.0	10.0
Verburg PSJ etal 1999_The CLIMEX soil-heating experiment soil response after 2 years of treatment	net_N_mineralization	1995-1996	 Jun.199-Jun.1996	24	g m-2 year-1	8.04703	8.04703	3.33458	2.673484402	1.504390351	10.0	10.0
Jonasson S etal 1993_In-situ mineralization of nitrogen and phosphorus of arctic soils after perturbations simulating climate change	net_N_mineralization	heath 	Jun.1989-Sep.1991	27	ug N/g SOM/summer	-1.86567	-1.86567	5.41045	34.72631515	38.38187143	6.0	6.0
Jonasson S etal 1993_In-situ mineralization of nitrogen and phosphorus of arctic soils after perturbations simulating climate change	net_N_mineralization	heath 	Jun.1989-Sep.1991	27	ug N/g SOM/summer	-2.79851	-2.79851	5.41045	45.69254314	38.38187143	6.0	6.0
Jonasson S etal 1993_In-situ mineralization of nitrogen and phosphorus of arctic soils after perturbations simulating climate change	net_N_mineralization	Fellfield 	Jun.1989-Sep.1991	27	ug N/g SOM/summer	32.2761(ug N/g SOM/summer)	32.2761	24.2537	54.83089502	22.84636953	6.0	6.0
Jonasson S etal 1993_In-situ mineralization of nitrogen and phosphorus of arctic soils after perturbations simulating climate change	net_N_mineralization	Fellfield 	Jun.1989-Sep.1991	27	ug N/g SOM/summer	22.5746	22.5746	24.2537	24.67390276	22.84636953	6.0	6.0
Robinson CH etal 1995_Responses of plant litter decomposition and nitrogen mineralisation to simulated environmental change in a high arctic polar semi-desert and a subarctic dwarf shrub heath	net_N_mineralization	polar semi-desert  	1991-1993	24	mg/m2 net ammonification	50.9807 (mg/m2 net ammonification)	50.9807	-44.6594	74.9617346	101.8764829	6.0	6.0
Robinson CH etal 1995_Responses of plant litter decomposition and nitrogen mineralisation to simulated environmental change in a high arctic polar semi-desert and a subarctic dwarf shrub heath	net_N_mineralization	polar semi-desert  	1991-1993	24	mg/m2 net mineralization	0.298769 (mg/m2 net mineralization)	0.298769	0.14105	0.257580993	0.045815256	6.0	6.0
Robinson CH etal 1995_Responses of plant litter decomposition and nitrogen mineralisation to simulated environmental change in a high arctic polar semi-desert and a subarctic dwarf shrub heath	net_N_mineralization	subarctic dwarf shrub heath	1991-1993	24	mg/m2 net ammonification	524.691 (mg/m2 net ammonification)	524.691	374.073	318.884	217.534	4.0	4.0
Robinson CH etal 1995_Responses of plant litter decomposition and nitrogen mineralisation to simulated environmental change in a high arctic polar semi-desert and a subarctic dwarf shrub heath	net_N_mineralization	subarctic dwarf shrub heath	1991-1993	24	mg/m2 net mineralization	0.482353(mg/m2 net mineralization)	0.482353	0.396078	0.360784	0.203922	4.0	4.0
Melillo JM etal 2002_Soil warming and carbon-cycle feedbacks to the climate system	net_N_mineralization		Apr. 1991-Nov. 1991	7	kg N/ha/yr	25.55 (kg N/ha/yr)	25.55	11.907	3.037	2.43	6.0	6.0
Melillo JM etal 2002_Soil warming and carbon-cycle feedbacks to the climate system	net_N_mineralization		Apr. 1991-Nov. 1992	19	kg N/ha/yr	68.217	68.217	33.24	10.935	4.86	6.0	6.0
Melillo JM etal 2002_Soil warming and carbon-cycle feedbacks to the climate system	net_N_mineralization		Apr. 1991-Nov. 1993	31	kg N/ha/yr	81.612	81.612	41.674	9.112	4.86	6.0	6.0
Melillo JM etal 2002_Soil warming and carbon-cycle feedbacks to the climate system	net_N_mineralization		Apr. 1991-Nov. 1994	43	kg N/ha/yr	105.674	105.674	53.333	17.618	6.075	6.0	6.0
Melillo JM etal 2002_Soil warming and carbon-cycle feedbacks to the climate system	net_N_mineralization		Apr. 1991-Nov. 1995	55	kg N/ha/yr	58.791	58.791	44.651	4.86	3.037	6.0	6.0
Melillo JM etal 2002_Soil warming and carbon-cycle feedbacks to the climate system	net_N_mineralization		Apr. 1991-Nov. 1996	67	kg N/ha/yr	81.364	81.364	69.705	12.15	11.543	6.0	6.0
Melillo JM etal 2002_Soil warming and carbon-cycle feedbacks to the climate system	net_N_mineralization		Apr. 1991-Nov. 1997	79	kg N/ha/yr	66.481	66.481	44.651	10.328	7.29	6.0	6.0
Melillo JM etal 2002_Soil warming and carbon-cycle feedbacks to the climate system	net_N_mineralization		Apr. 1991-Nov. 1998	91	kg N/ha/yr	143.132	143.132	99.473	47.386	30.983	6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	net_N_mineralization	low-latitude heath	1989-1993	48	gN/m2/growing season	0.229 (gN/m2/growing season)	0.229	0.111	0.144	0.216	6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	net_N_mineralization	high-latitude heath	1989-1993	48	gN/m2/growing season	0.027	0.027	0.004	0.04	0.016	6.0	6.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	net_N_mineralization	tussock tundra	1989-1999	120	gN/m2/growing season	0.12	0.12	0.27	0.797	0.17	4.0	4.0
Schmidt IK etal 2002_Mineralization and distribution of nutrients in plants and microbes in four arctic ecosystems: responses to warming	net_N_mineralization	wet sedge	1989-1999	120	gN/m2/growing season	1.208	1.208	0.377			2.0	2.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_nitrification		May.2003-Jun.2003	1	%of net mineralized N	7.49235 (%of net mineralized N)	7.49235	4.06728	0.6764612	0.6764612	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_nitrification		May.2003-Jun.2004	13	%of net mineralized N	17.1254	17.1254	2.24771	2.029352	0.6764296	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_nitrification		May.2003-Jun.2005	25	%of net mineralized N	13.8073	13.8073	4.06728	1.353112	0.6764612	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_nitrification		May.2003-Jun.2006	37	%of net mineralized N	14.4495	14.4495	1.2844	1.014676	0.6764612	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_nitrification		May.2003-Jun.2007	49	%of net mineralized N	26.3303	26.3303	8.45566	2.367472	1.014676	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_nitrification		May.2003-Jun.2008	61	%of net mineralized N	23.8685	23.8685	9.31193	2.367472	1.014676	10.0	10.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	net_nitrification		May.2003-Jun.2009	73	%of net mineralized N	26.8654	26.8654	3.96024	2.367788	1.0147076	10.0	10.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	net_nitrification	0-5 cm soil	Oct 2005 - Sep 2007	18	gN/m2/yr	5.77 (gN/m2/yr)	5.77	3.82	5.28984	3.99187	6.0	6.0
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	net_nitrification		2006-2007	12	mg/kg/day	1.958 mg/kg/day	1.958	1.693	0.12	0.108	6.0	6.0
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	net_nitrification		2006-2008	24	mg/kg/day	2.274	2.274	1.93	0.096	0.132	6.0	6.0
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	net_nitrification		2006-2009	36	mg/kg/day	2.232	2.232	1.963	0.108	0.108	6.0	6.0
Rui Y etal 2011_Warming and grazing affect soil labile carbon and nitrogen pools differently in an alpine meadow of the Qinghai-Tibet Plateau in China	net_nitrification		May, 2006-Aug. 2009	39	mg/kg	19.34 (mg/kg)	19.34	34.79	4.26	8.52	4.0	4.0
Malchair S etal 2010_Do climate warming and plant species richness affect potential nitrification, basal respiration and ammonia-oxidizing bacteria in experimental grasslands? Soil Biology and Biochemistry 42(11): 1944-1951	net_nitrification	0-5 cm soil	Jul. 2003-Nov. 2004	16	mg N/g/hr	0.904 (mg N/g/hr)	0.904	0.886	0.149	0.089		
Malchair S etal 2010_Do climate warming and plant species richness affect potential nitrification, basal respiration and ammonia-oxidizing bacteria in experimental grasslands? Soil Biology and Biochemistry 42(11): 1944-1951	net_nitrification	6-10 cm soil	Jul. 2003-Nov. 2004	16	mg N/g/hr	1.499	1.499	0.837	1.144	0.089		
Malchair S etal 2010_Do climate warming and plant species richness affect potential nitrification, basal respiration and ammonia-oxidizing bacteria in experimental grasslands? Soil Biology and Biochemistry 42(11): 1944-1951	net_nitrification	0-5 cm soil	Jul. 2003-Nov. 2005	28	mg N/g/hr	0.667	0.667	0.77	0.059	0.104		
